,genetic perturbation,percent knockdown,Number of DEGs (anderson-darling),number of cells (filtered)
0,non-targeting,,0,446
1,ENSG00000228474,-0.8369246125221252,614,713
2,ENSG00000058262,-0.7106249928474426,8140,489
3,ENSG00000115211,-0.8404592871665955,7184,1754
4,ENSG00000182934,-0.8825290203094482,1588,350
5,ENSG00000134049,-0.695424497127533,5803,10
6,ENSG00000145817,-0.8234853148460388,4129,643
7,ENSG00000170445,-0.8908724784851074,8051,12
8,ENSG00000101166,-0.7976117134094238,5544,281
9,ENSG00000129562,-0.8211613297462463,1094,501
10,ENSG00000138297,-0.7134298086166382,3296,396
11,ENSG00000115866,-0.827630341053009,5217,477
12,ENSG00000176020,-1.0,0,225
13,ENSG00000112249,-0.8624934554100037,4916,281
14,ENSG00000166411,-0.774185061454773,3499,751
15,ENSG00000205981,-0.817740261554718,8275,663
16,ENSG00000120686,-0.8298230767250061,980,382
17,ENSG00000067704,-0.8475072383880615,8583,606
18,ENSG00000172053,-0.8273720145225525,7909,655
19,ENSG00000185338,-0.377236545085907,453,507
20,ENSG00000014123,-0.9097304940223694,989,1524
21,ENSG00000198171,-0.895397424697876,446,160
22,ENSG00000134910,-0.7107709050178528,0,615
23,ENSG00000100347,-0.8714439272880554,4690,415
24,ENSG00000106803,-0.8294872641563416,2493,622
25,ENSG00000128805,-0.2685600519180298,2414,510
26,ENSG00000118363,-0.8461848497390747,476,83
27,ENSG00000101189,-0.8377441167831421,2618,632
28,ENSG00000071537,-0.8300995826721191,0,681
29,ENSG00000173540,-1.0,0,957
30,ENSG00000185624,-0.7964698076248169,1052,605
31,ENSG00000143870,-0.8366736173629761,0,502
32,ENSG00000110955,-0.8932410478591919,3654,324
33,ENSG00000112576,-0.5962422490119934,2321,403
34,ENSG00000172071,-0.41909536719322205,2961,1182
35,ENSG00000110619,-0.8848942518234253,9028,894
36,ENSG00000159352,-0.8065374493598938,6574,491
37,ENSG00000113013,-0.7248820066452026,8650,1109
38,ENSG00000149428,-0.7863695621490479,0,661
39,ENSG00000100714,-0.8694080114364624,5387,1825
40,ENSG00000084774,-0.7799181342124939,4194,553
41,ENSG00000174695,-0.8459907174110413,1894,523
42,ENSG00000100522,-0.8793830871582031,0,569
43,ENSG00000129696,-0.8295425772666931,1300,682
44,ENSG00000112473,-0.8895248770713806,1194,518
45,ENSG00000072849,-0.8598377108573914,3522,504
46,ENSG00000129559,-0.8469116687774658,5634,645
47,ENSG00000113407,-0.8429074287414551,5787,558
48,ENSG00000100726,-0.876051664352417,2573,581
49,ENSG00000025796,-0.7710431218147278,568,233
50,ENSG00000107862,-0.6330206394195557,2966,28
51,ENSG00000154719,-0.8669095635414124,2166,622
52,ENSG00000116120,-0.8592216372489929,6961,60
53,ENSG00000145050,-0.8489847779273987,0,532
54,ENSG00000166986,-0.7843034863471985,6157,379
55,ENSG00000149084,-0.7925172448158264,2787,815
56,ENSG00000162298,-0.8522063493728638,0,472
57,ENSG00000066926,-0.7859944701194763,2849,1228
58,ENSG00000119718,-0.853114128112793,7558,1188
59,ENSG00000031698,-0.7918738126754761,8680,1665
60,ENSG00000101407,-0.856858491897583,5294,649
61,ENSG00000114127,-0.7691779136657715,8015,653
62,ENSG00000044574,-0.5890266299247742,7741,441
63,ENSG00000167881,-0.8621413111686707,5280,620
64,ENSG00000174780,-0.83907151222229,551,600
65,ENSG00000142186,-0.8329105377197266,4152,637
66,ENSG00000134001,-0.8572819828987122,8234,448
67,ENSG00000104980,-0.8534045815467834,7074,584
68,ENSG00000156471,-0.8790463209152222,0,647
69,ENSG00000244038,-0.8414852023124695,2177,696
70,ENSG00000121073,-0.7951773405075073,0,519
71,ENSG00000132432,-0.7721640467643738,4657,589
72,ENSG00000144867,-0.8784266710281372,3345,703
73,ENSG00000170348,-0.8146724104881287,559,499
74,ENSG00000128272,-0.13345007598400116,2759,649
75,ENSG00000070785,-0.8944926857948303,6873,803
76,ENSG00000129083,-0.5071746706962585,1980,691
77,ENSG00000085872,-0.7725684642791748,5533,754
78,ENSG00000090861,-0.8332382440567017,7790,590
79,ENSG00000113593,-0.7192753553390503,3770,505
80,ENSG00000117682,-0.8638306856155396,7261,625
81,ENSG00000111481,-0.7398391962051392,4851,467
82,ENSG00000178607,0.08008068054914474,666,525
83,ENSG00000086598,-0.8400145769119263,717,650
84,ENSG00000129128,-0.8441417813301086,3551,585
85,ENSG00000197170,-0.2479679435491562,2422,689
86,ENSG00000146576,-0.18890370428562164,0,62
87,ENSG00000129084,-0.18094302713871002,705,787
88,ENSG00000118217,-0.8484942317008972,669,1398
89,ENSG00000100219,-0.26552635431289673,1091,7273
