Subnet,Anchor,#parents,median WD,Candidate annotation,Gene set,STRING PPI enrichment p,STRING avg node degree,Module verdict,STRING notes
1,ZUP1,5,1.81,Mitochondrial Biogenesis R-HSA-1592230,"HSPA9, PNPT1, POLRMT, SSBP1, TEFM",5.68e-09,3,strong,HSPA9 dropped at default confidence (partial); POLRMT/TEFM/SSBP1/PNPT1 clique. Mito transcription/nucleoid.
2,ZSWIM7,3,1.61,Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,"POLRMT, SSBP1, TEFM",7.3e-06,2,strong,POLRMT/SSBP1/TEFM triangle. Subset of subnet1 mito core.
3,ACP2,4,1.51,"Tristetraprolin (TTP, ZFP36) Binds And Destabilizes mRNA R-HSA-450513","EXOSC2, EXOSC8, PABPN1, ZFC3H1",7.31e-08,2.5,strong,EXOSC2/EXOSC8/ZFC3H1/PABPN1. RNA exosome core.
4,RPS2,7,1.5,KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604,"CSE1L, DLD, EXOSC2, EXOSC8, KPNB1, PABPN1, ZFC3H1",1.39e-06,2,moderate,Exosome+transport backbone; DLD isolated (lowest WD/prob = false-positive edge).
5,CCNJ,3,1.09,Human T-cell leukemia virus 1 infection,"CASP8AP2, SFPQ, TRRAP",1.0,0,dead,"0 edges, p=1. No independent PPI support."
6,ATXN7L3B,5,1.07,Mitochondrial Protein Import R-HSA-1268020,"DNAJC19, EIF2S1, HSPA9, PHB, PHB2",1.45e-06,3.2,strong,PHB/PHB2/HSPA9/DNAJC19/EIF2S1. Mito proteostasis.
7,ZNF32,3,1.06,Signaling By Interleukins R-HSA-449147,"GAB2, HSPA8, SFPQ",1.0,0,dead,"0 edges, p=1. SFPQ recurs as orphan (also subnet5)."
8,CCDC59,7,1.05,none significant,"CDC73, CHMP3, CTR9, INTS2, INTS8, LSM2, PAF1",0.000269,1.14,moderate,PAF1C (CDC73/CTR9/PAF1) + Integrator (INTS2/INTS8). LSM2 low-WD orphan; CHMP3 high-WD but STRING-isolated .
9,WDR20,3,1.05,"Tristetraprolin (TTP, ZFP36) Binds And Destabilizes mRNA R-HSA-450513","EXOSC2, EXOSC8, ZFC3H1",8.36e-06,2,strong,EXOSC2/EXOSC8/ZFC3H1 triangle. Exosome core (3rd recovery).
10,TUBGCP5,5,1.04,none significant,"EIF2S1, HSPA9, PHB, PHB2, RPL12",0.00159,2.4,moderate,PHB/PHB2/HSPA9/EIF2S1 core + RPL12 bridged in. Weakest p of supported set.
11,CHP1,14,1.01,Recycling Of eIF2:GDP R-HSA-72731,"DNAJC19, EIF2B2, EIF2B4, EIF2B5, EIF2S1, HARS, HBS1L, HSPA9, PHB, PHB2, PMPCB, RARS, TARS, TIMM23B",<1.0e-16,4.43,strong,Integrated stress response: eIF2B + synthetases + mito proteostasis. HBS1L isolated (mid-WD). Matches Recycling of eIF2:GDP.
12,MRPL30,14,0.99,Recycling Of eIF2:GDP R-HSA-72731,"DNAJC19, EIF2B2, EIF2B4, EIF2S1, HARS, HSPA9, PHB, PHB2, PMPCB, QARS, RARS, RPL12, TIMM23B, VARS",<1.0e-16,5.14,strong,"Same ISR program as subnet11, different anchor; tighter graph, no orphan. Same program as subnet 11."
13,PHF10,4,0.99,none significant,"EIF2S1, PHB, PHB2, RPL17",0.0274,1.5,weak,Borderline; chain not clique (PHB-PHB2-EIF2S1-RPL17). Thin echo of mito/eIF2 core. No significant pathway term.
14,ANKRD54,6,0.97,RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505,"CSE1L, INTS2, INTS8, INTS9, RBM14, UBA1",0.000513,1,moderate,INTS2/INTS8/INTS9 Integrator triangle only; 3 orphans. CSE1L recurs as weak parent.
15,NAA35,4,0.92,Formation Of RNA Pol II Elongation Complex R-HSA-112382,"CTR9, INTS8, PAF1, SUPT5H",1.02e-05,2,strong,"CTR9/PAF1/SUPT5H elongation + INTS8 tied in. INDEPENDENT module (transcription elongation), not mito/eIF2."
16,ARHGAP22,25,0.83,Recycling Of eIF2:GDP R-HSA-72731,"DNAJA3, DNAJC19, EIF2B2, EIF2B4, EIF2B5, EIF2S1, FARSA, HARS, HBS1L, HSPA9, IARS2, NARS, OXA1L, PHB, PHB2, PMPCA, PMPCB, PNPT1, QARS, RARS, TARS, TIMM13, TIMM23B, U2SURP, VARS",<1.0e-16,7.2,strong,"Full ISR program at scale; lowest median WD (0.83), 25-parent catch-all. Size-driven significance; same program as 11/12. U2SURP isolated; HBS1L weakly attached."
